FONT,声が大きい,柔らかい,感情的,力強い,穏やかな,大人っぽい,賑やかな,はっきりした,和やかな,積極的な,生き生きした,暖かい,さっぱりした,好意
1,3.1 ,2.8 ,2.3 ,3.0 ,3.8 ,3.6 ,2.2 ,3.9 ,3.4 ,3.1 ,2.8 ,2.8 ,3.6 ,3.6 
2,2.7 ,2.4 ,1.9 ,2.9 ,4.0 ,4.6 ,1.9 ,4.1 ,3.5 ,3.2 ,3.2 ,2.8 ,3.6 ,3.4 
3,2.8 ,3.2 ,2.5 ,2.9 ,3.9 ,3.7 ,2.4 ,3.3 ,3.3 ,3.2 ,3.3 ,3.0 ,3.5 ,3.4 
4,3.0 ,4.4 ,3.6 ,3.0 ,3.9 ,2.2 ,3.2 ,2.6 ,3.9 ,3.4 ,3.8 ,4.0 ,2.3 ,3.6 
5,4.4 ,3.1 ,4.1 ,4.5 ,2.4 ,2.0 ,4.2 ,4.1 ,3.1 ,4.2 ,4.0 ,3.9 ,2.6 ,3.6 
6,2.0 ,4.0 ,3.5 ,1.7 ,4.3 ,2.7 ,2.4 ,2.1 ,3.5 ,2.3 ,2.5 ,2.8 ,3.4 ,3.4 
7,2.1 ,3.2 ,2.3 ,2.1 ,4.1 ,3.4 ,2.0 ,3.2 ,3.3 ,2.4 ,2.4 ,2.6 ,3.9 ,3.3 
8,3.7 ,4.7 ,4.4 ,3.4 ,3.8 ,1.4 ,3.9 ,2.9 ,4.1 ,3.8 ,4.2 ,4.3 ,2.4 ,3.7 
9,4.3 ,2.4 ,3.1 ,4.1 ,2.5 ,2.7 ,3.6 ,4.1 ,2.8 ,4.0 ,3.5 ,3.2 ,3.3 ,3.2 
10,2.1 ,2.2 ,2.9 ,2.1 ,3.6 ,2.4 ,2.4 ,3.0 ,2.7 ,2.1 ,2.0 ,2.1 ,3.6 ,2.8 
11,2.4 ,3.8 ,2.4 ,2.4 ,4.2 ,4.3 ,1.9 ,3.0 ,3.7 ,2.7 ,2.7 ,2.8 ,3.2 ,3.5 
12,1.4 ,3.5 ,2.7 ,1.5 ,4.4 ,4.3 ,1.7 ,2.2 ,3.1 ,2.0 ,2.4 ,2.4 ,3.5 ,3.1 
13,4.1 ,3.1 ,4.2 ,4.1 ,2.5 ,2.1 ,4.1 ,3.8 ,2.5 ,3.9 ,3.9 ,3.2 ,3.5 ,3.1 
14,4.5 ,2.6 ,4.3 ,4.3 ,2.1 ,1.9 ,4.1 ,4.2 ,2.9 ,4.1 ,3.7 ,3.6 ,3.3 ,3.2 
15,2.3 ,3.5 ,3.4 ,2.3 ,3.8 ,3.4 ,2.1 ,2.1 ,3.0 ,2.3 ,1.9 ,2.1 ,2.9 ,2.4 
16,4.1 ,2.9 ,2.8 ,4.0 ,2.9 ,3.6 ,3.2 ,3.9 ,2.9 ,3.9 ,3.5 ,3.1 ,3.3 ,3.3 
17,3.1 ,2.7 ,2.4 ,3.1 ,3.3 ,3.4 ,2.7 ,3.7 ,2.9 ,3.3 ,2.9 ,2.8 ,3.7 ,3.3 
18,1.6 ,3.8 ,4.1 ,1.5 ,4.1 ,1.8 ,2.6 ,1.7 ,3.1 ,2.1 ,2.2 ,2.7 ,3.0 ,2.6 
19,3.2 ,2.0 ,4.5 ,4.1 ,1.8 ,2.7 ,3.4 ,3.6 ,1.6 ,3.5 ,2.6 ,1.9 ,3.3 ,2.1 
20,2.9 ,3.4 ,2.3 ,3.2 ,3.7 ,3.4 ,2.6 ,3.2 ,3.4 ,3.1 ,3.2 ,3.2 ,3.2 ,3.2 
21,4.1 ,3.7 ,3.8 ,4.1 ,3.0 ,1.9 ,4.1 ,3.8 ,3.4 ,3.8 ,3.8 ,3.6 ,2.9 ,3.4 
22,2.3 ,4.1 ,3.8 ,2.5 ,3.9 ,2.6 ,2.9 ,2.4 ,3.6 ,3.0 ,3.5 ,3.4 ,3.3 ,3.4 
23,2.6 ,4.5 ,4.1 ,2.4 ,4.2 ,2.1 ,2.9 ,2.1 ,3.9 ,2.6 ,3.4 ,3.6 ,2.7 ,3.3 
24,2.3 ,2.5 ,2.0 ,2.8 ,3.8 ,4.0 ,2.1 ,3.9 ,3.4 ,2.8 ,2.6 ,2.6 ,3.6 ,3.2 
25,3.7 ,4.0 ,3.9 ,3.4 ,3.5 ,2.1 ,3.6 ,3.1 ,3.8 ,3.6 ,3.6 ,3.7 ,2.7 ,3.4 
26,2.8 ,2.8 ,2.4 ,3.0 ,3.6 ,3.5 ,2.7 ,3.4 ,3.3 ,3.1 ,2.9 ,2.8 ,3.6 ,3.3 
27,3.4 ,2.6 ,2.0 ,3.3 ,3.4 ,4.2 ,2.6 ,4.0 ,3.1 ,3.3 ,3.3 ,2.9 ,3.7 ,3.4 
